City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Samoded,RU,2021-10-02 15:39:41,63.6083,40.5111,45.48,76,99,3.96
117,Lompoc,US,2021-10-02 15:35:22,34.6391,-120.4579,84.13,100,1,0.0
118,Akyab,MM,2021-10-02 15:39:41,20.15,92.9,82.83,81,100,7.14
119,Mnogovershinnyy,RU,2021-10-02 15:39:42,53.9353,139.9242,32.65,74,3,3.15
120,Ouro Preto Do Oeste,BR,2021-10-02 15:38:06,-10.7481,-62.2158,100.45,29,4,6.4
121,Ahuimanu,US,2021-10-02 15:39:42,21.4447,-157.8378,76.71,80,90,8.05
122,Barcelos,PT,2021-10-02 15:39:43,41.5388,-8.6151,69.48,92,100,11.95
123,Gander,CA,2021-10-02 15:39:43,48.9682,-54.5906,57.33,82,75,10.0
124,Oudtshoorn,ZA,2021-10-02 15:39:43,-33.5907,22.2014,48.56,75,100,9.44
125,Ponta Do Sol,PT,2021-10-02 15:39:44,32.6667,-17.1,79.72,74,0,1.95
126,Mpanda,TZ,2021-10-02 15:39:44,-6.3655,31.0409,85.03,24,13,3.36
127,Saint George,US,2021-10-02 15:39:44,37.1041,-113.5841,75.34,29,1,0.0
128,Cockburn Town,TC,2021-10-02 15:36:48,21.4612,-71.1419,83.07,69,88,14.47
129,Dukat,RU,2021-10-02 15:39:45,62.55,155.55,22.98,88,9,6.62
130,Belaya Gora,RU,2021-10-02 15:39:45,68.5333,146.4167,17.28,90,92,5.57
131,Norman Wells,CA,2021-10-02 15:39:45,65.282,-126.8329,35.64,87,75,3.44
132,Altay,CN,2021-10-02 15:37:13,47.8667,88.1167,34.57,69,81,3.38
133,Bonnyville,CA,2021-10-02 15:39:46,54.2668,-110.735,43.92,33,97,15.12
134,Komsomolskiy,UZ,2021-10-02 15:39:46,40.4272,71.7189,57.92,35,96,4.61
135,Fernie,CA,2021-10-02 15:39:47,49.5,-115.0687,51.89,58,90,6.08
136,Calvinia,ZA,2021-10-02 15:39:47,-31.4707,19.776,52.25,43,13,17.02
137,Lebu,CL,2021-10-02 15:39:47,-37.6167,-73.65,50.45,58,62,13.35
138,Loukhi,RU,2021-10-02 15:39:47,66.0764,33.0381,47.57,84,100,7.43
139,Dikson,RU,2021-10-02 15:39:48,73.5069,80.5464,33.67,86,100,14.32
140,Merced,US,2021-10-02 15:37:26,37.1666,-120.7516,57.43,22,0,4.12
141,Altos,BR,2021-10-02 15:39:48,-5.0381,-42.46,89.91,30,69,4.54
142,Yining,CN,2021-10-02 15:39:49,29.0361,114.5636,74.1,79,0,1.99
143,Doba,TD,2021-10-02 15:39:49,8.65,16.85,83.64,73,56,4.52
144,Saskylakh,RU,2021-10-02 15:39:49,71.9167,114.0833,18.09,98,100,3.18
145,Avarua,CK,2021-10-02 15:36:04,-21.2078,-159.775,71.65,94,89,1.14
146,Georgetown,MY,2021-10-02 15:37:34,5.4112,100.3354,81.9,86,20,0.0
147,Mana,GF,2021-10-02 15:39:50,5.6592,-53.7767,84.54,73,62,9.35
