City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Bengkulu,ID,2021-10-03 22:27:41,-3.8004,102.2655,74.28,91,97,3.47
126,Woodstock,CA,2021-10-03 22:27:41,43.1334,-80.7497,70.81,96,100,1.01
127,Port Blair,IN,2021-10-03 22:27:35,11.6667,92.75,80.11,82,24,7.07
128,Nagato,JP,2021-10-03 22:27:41,34.3833,131.2,75.15,77,2,18.3
129,Rapid Valley,US,2021-10-03 22:27:42,44.0625,-103.1463,82.6,16,1,1.01
130,Punta Alta,AR,2021-10-03 22:27:42,-38.8759,-62.0736,55.65,47,52,6.71
131,Lavrentiya,RU,2021-10-03 22:27:42,65.5833,-171.0,27.32,67,14,1.63
132,Lompoc,US,2021-10-03 22:23:27,34.6391,-120.4579,94.78,58,1,12.66
133,Saint-Joseph,RE,2021-10-03 22:27:43,-21.3667,55.6167,71.98,81,22,10.31
134,Magalia,US,2021-10-03 22:27:43,39.8121,-121.5783,86.54,22,12,1.01
135,Fortuna,US,2021-10-03 22:27:12,40.5982,-124.1573,70.93,69,20,1.99
136,Juybar,IR,2021-10-03 22:27:43,36.6412,52.9124,59.16,72,0,2.95
137,Makokou,GA,2021-10-03 22:27:44,0.5738,12.8642,69.17,99,45,2.39
138,Navahrudak,BY,2021-10-03 22:27:44,53.6,25.8333,46.65,67,73,12.21
139,Portland,US,2021-10-03 22:27:08,45.5234,-122.6762,73.83,65,20,1.01
140,Faanui,PF,2021-10-03 22:26:46,-16.4833,-151.75,78.78,72,34,9.66
141,Kenai,US,2021-10-03 22:27:45,60.5544,-151.2583,47.03,48,1,6.91
142,Yulara,AU,2021-10-03 22:27:45,-25.2406,130.9889,58.84,33,0,4.61
143,Zamora,EC,2021-10-03 22:27:45,-4.0692,-78.9567,79.84,94,79,2.68
144,Seoul,KR,2021-10-03 22:23:03,37.5683,126.9778,73.81,68,75,6.91
145,Tezu,IN,2021-10-03 22:27:46,27.9167,96.1667,73.09,99,100,1.68
146,Isangel,VU,2021-10-03 22:27:46,-19.55,169.2667,79.75,77,2,4.94
147,Sinnamary,GF,2021-10-03 22:27:46,5.3833,-52.95,80.15,81,30,11.54
148,Lebu,CL,2021-10-03 22:27:46,-37.6167,-73.65,50.59,74,0,20.89
149,Fraserburgh,GB,2021-10-03 22:27:47,57.6874,-2.0184,50.72,72,100,18.63
150,Buraydah,SA,2021-10-03 22:27:47,26.326,43.975,79.25,13,8,7.83
151,Asosa,ET,2021-10-03 22:27:48,10.0667,34.5333,60.94,95,100,2.82
152,Gornyak,RU,2021-10-03 22:27:48,50.9942,81.4661,38.25,79,100,9.4
153,Bathsheba,BB,2021-10-03 22:27:48,13.2167,-59.5167,84.81,70,20,19.57
154,Ronne,DK,2021-10-03 22:27:48,55.1009,14.7066,60.71,82,90,16.11
155,Anadyr,RU,2021-10-03 22:27:49,64.75,177.4833,37.9,93,40,17.0
156,Katobu,ID,2021-10-03 22:27:49,-4.9408,122.5276,74.12,91,45,1.92
157,Semey,KZ,2021-10-03 22:27:49,50.4111,80.2275,42.78,49,100,7.94
158,Constitucion,CL,2021-10-03 22:27:50,-35.3333,-72.4167,56.37,67,0,18.39
159,Torbay,CA,2021-10-03 22:27:37,47.6666,-52.7314,54.75,92,90,6.91
160,Luwuk,ID,2021-10-03 22:27:51,-0.9516,122.7875,76.51,82,97,6.13
161,Georgetown,MY,2021-10-03 22:23:38,5.4112,100.3354,79.9,90,20,0.0
162,Vardo,NO,2021-10-03 22:27:51,70.3705,31.1107,48.4,78,98,27.76
163,Laguna,US,2021-10-03 22:25:43,38.421,-121.4238,93.42,21,1,1.01
164,Maniitsoq,GL,2021-10-03 22:27:52,65.4167,-52.9,38.64,68,80,2.04
165,Emba,KZ,2021-10-03 22:27:52,48.8264,58.1442,47.34,54,89,6.29
166,Saint-Nazaire,FR,2021-10-03 22:27:52,47.2833,-2.2,60.04,84,0,4.61
167,Strezhevoy,RU,2021-10-03 22:27:52,60.7333,77.5889,31.98,93,14,6.02
168,Yerbogachen,RU,2021-10-03 22:27:53,61.2767,108.0108,32.67,85,100,4.47
169,Mount Gambier,AU,2021-10-03 22:27:53,-37.8333,140.7667,48.11,87,40,14.97
170,Otane,NZ,2021-10-03 22:27:53,-39.8833,176.6333,64.0,86,100,2.84
171,Kaitangata,NZ,2021-10-03 22:27:40,-46.2817,169.8464,50.94,84,100,15.01
172,Cherskiy,RU,2021-10-03 22:27:54,68.75,161.3,17.76,97,94,2.75
173,Qostanay,KZ,2021-10-03 22:27:54,53.1667,63.5833,32.04,90,77,9.08
174,Chapais,CA,2021-10-03 22:27:54,49.7834,-74.8492,51.58,59,3,4.74
175,Pacifica,US,2021-10-03 22:27:55,37.6138,-122.4869,97.05,44,20,3.44
176,Praxedis Guerrero,MX,2021-10-03 22:27:55,31.3667,-106.0167,85.59,29,7,7.49
177,Half Moon Bay,US,2021-10-03 22:27:55,37.4636,-122.4286,97.25,29,1,9.22
178,Flinders,AU,2021-10-03 22:27:56,-34.5833,150.8552,72.05,71,52,1.01
179,Comodoro Rivadavia,AR,2021-10-03 22:27:56,-45.8667,-67.5,60.66,29,0,20.71
180,Umm Lajj,SA,2021-10-03 22:27:56,25.0213,37.2685,81.64,58,5,10.83
181,Gallipoli,TR,2021-10-03 22:27:57,40.4103,26.6708,53.46,78,11,10.83
182,Meulaboh,ID,2021-10-03 22:27:57,4.1363,96.1285,74.55,87,65,4.56
183,Samarai,PG,2021-10-03 22:27:57,-10.6167,150.6667,80.91,80,64,5.95
184,Tuburan,PH,2021-10-03 22:27:57,6.6439,122.2736,75.29,81,100,16.55
185,Mainit,PH,2021-10-03 22:27:58,9.535,125.5231,75.4,92,100,4.52
186,Petropavlovsk-Kamchatskiy,RU,2021-10-03 22:27:58,53.0452,158.6483,54.19,50,75,20.13
187,Waipawa,NZ,2021-10-03 22:27:58,-41.4122,175.5153,55.02,93,100,4.74
188,Geraldton,AU,2021-10-03 22:27:59,-28.7667,114.6,48.61,87,0,6.91
189,Novyy Karachay,RU,2021-10-03 22:27:59,43.8208,41.9032,48.06,99,100,2.51
190,Fredericksburg,US,2021-10-03 22:27:16,38.3032,-77.4605,81.57,63,1,1.99
191,Los Llanos De Aridane,ES,2021-10-03 22:27:59,28.6585,-17.9182,67.75,78,0,13.8
192,Saskylakh,RU,2021-10-03 22:28:00,71.9167,114.0833,17.04,92,99,11.77
193,Bambous Virieux,MU,2021-10-03 22:28:00,-20.3428,57.7575,72.21,83,40,11.5
194,Chihuahua,MX,2021-10-03 22:28:00,28.5,-106.0,70.63,58,100,6.46
195,Sitka,US,2021-10-03 22:28:01,57.0531,-135.33,46.29,66,75,5.75
196,Emilio Carranza,MX,2021-10-03 22:28:01,19.9711,-96.6114,82.85,72,49,11.81
197,Malartic,CA,2021-10-03 22:28:02,48.1335,-78.1328,60.91,68,45,4.36
198,Ust-Maya,RU,2021-10-03 22:28:02,60.4167,134.5333,30.11,85,100,5.82
199,Viramgam,IN,2021-10-03 22:28:02,23.1225,72.0484,80.83,75,8,7.74
200,Pevek,RU,2021-10-03 22:28:03,69.7008,170.3133,24.42,91,100,5.03
201,Bilibino,RU,2021-10-03 22:28:03,68.0546,166.4372,16.97,95,91,2.66
202,Alyangula,AU,2021-10-03 22:27:37,-13.8483,136.4192,82.27,78,46,6.91
203,Breaza,RO,2021-10-03 22:28:03,45.1833,25.6667,48.31,68,0,4.38
204,Wanaka,NZ,2021-10-03 22:28:03,-44.7,169.15,53.11,78,100,1.01
205,Clyde River,CA,2021-10-03 22:28:04,70.4692,-68.5914,35.58,85,93,1.32
206,Port Elizabeth,ZA,2021-10-03 22:23:08,-33.918,25.5701,53.1,76,4,6.58
207,Airai,TL,2021-10-03 22:28:04,-8.9266,125.4092,61.43,57,11,1.3
208,Souillac,MU,2021-10-03 22:28:04,-20.5167,57.5167,72.36,83,40,11.5
209,Khorinsk,RU,2021-10-03 22:28:05,52.1657,109.7726,32.32,92,95,5.46
210,Bombay,IN,2021-10-03 22:25:12,19.0144,72.8479,84.18,89,40,0.0
211,La Romana,DO,2021-10-03 22:28:05,18.4273,-68.9728,82.76,83,75,6.91
212,Ulaangom,MN,2021-10-03 22:28:05,49.9811,92.0667,32.43,61,66,5.23
213,Dehui,CN,2021-10-03 22:28:06,44.5333,125.7,41.31,79,42,8.66
214,Aklavik,CA,2021-10-03 22:28:06,68.2191,-135.0107,34.63,96,100,16.67
215,Pisco,PE,2021-10-03 22:27:15,-13.7,-76.2167,64.45,72,0,18.41
216,Lusaka,ZM,2021-10-03 22:23:30,-15.4067,28.2871,72.0,55,97,3.42
217,Port Alfred,ZA,2021-10-03 22:28:07,-33.5906,26.891,55.13,77,29,7.52
218,Armacao De Pera,PT,2021-10-03 22:28:07,37.1026,-8.357,64.31,57,100,13.35
219,Nyaunglebin,MM,2021-10-03 22:28:07,17.95,96.7333,73.78,95,26,2.46
220,Taywarah,AF,2021-10-03 22:28:08,33.35,64.4167,43.21,36,0,5.99
221,Singarayakonda,IN,2021-10-03 22:28:08,15.25,80.0333,82.4,78,3,1.45
222,Victoria,HK,2021-10-03 22:26:47,22.2855,114.1577,84.33,80,88,4.0
223,Akyab,MM,2021-10-03 22:28:08,20.15,92.9,79.36,84,61,4.59
224,Aksu,CN,2021-10-03 22:28:09,41.1231,80.2644,50.11,66,100,0.98
225,Calvinia,ZA,2021-10-03 22:28:09,-31.4707,19.776,46.09,38,0,3.42
226,Douglas,US,2021-10-03 22:28:09,41.3,-96.167,79.61,32,1,3.0
227,Nyurba,RU,2021-10-03 22:27:05,63.2842,118.3319,26.01,92,92,4.59
228,Nouadhibou,MR,2021-10-03 22:28:10,20.931,-17.0347,69.78,83,10,12.66
229,Neyshabur,IR,2021-10-03 22:28:10,36.2133,58.7958,54.05,35,0,2.46
230,Karratha,AU,2021-10-03 22:28:10,-20.7377,116.8463,68.41,63,0,4.52
231,Prince Rupert,CA,2021-10-03 22:27:23,54.3161,-130.3201,49.69,74,90,9.22
232,Castro,BR,2021-10-03 22:28:11,-24.7911,-50.0119,62.67,99,100,3.24
233,Merta,IN,2021-10-03 22:28:11,26.65,74.0333,79.36,71,26,7.47
234,Yar-Sale,RU,2021-10-03 22:28:12,66.8333,70.8333,31.39,75,100,6.89
235,Sao Raimundo Das Mangabeiras,BR,2021-10-03 22:28:12,-7.0219,-45.4811,84.34,46,77,5.03
236,Kitami,JP,2021-10-03 22:28:12,43.8031,143.8908,62.11,77,100,8.19
237,The Valley,AI,2021-10-03 22:28:13,18.217,-63.0578,84.34,70,20,16.11
238,Darhan,MN,2021-10-03 22:28:13,49.4867,105.9228,34.02,84,93,1.92
239,Jibuti,DJ,2021-10-03 22:28:13,11.5,42.5,81.82,58,72,2.37
240,Asau,RO,2021-10-03 22:28:14,46.4333,26.4,46.76,96,20,2.68
241,Fare,PF,2021-10-03 22:28:14,-16.7,-151.0167,78.37,71,16,9.26
242,Vieques,PR,2021-10-03 22:28:14,18.425,-65.8329,86.02,66,40,10.36
243,Empalme,MX,2021-10-03 22:28:15,27.9667,-110.8167,93.25,40,20,16.11
