City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
321,321,Taihe,CN,2021-10-02 15:40:40,30.8712,105.3845,78.75,76,99,6.62
322,322,Upington,ZA,2021-10-02 15:40:41,-28.4478,21.2561,70.18,18,0,11.5
326,326,Kavaratti,IN,2021-10-02 15:40:42,10.5669,72.642,82.22,79,100,16.89
328,328,Souillac,MU,2021-10-02 15:40:42,-20.5167,57.5167,74.35,78,75,17.27
331,331,Hervey Bay,AU,2021-10-02 15:40:43,-25.2986,152.8535,70.03,92,81,6.29
333,333,Paso De Los Toros,UY,2021-10-02 15:40:44,-32.8167,-56.5167,68.34,53,1,13.91
336,336,Limbang,MY,2021-10-02 15:40:45,4.75,115.0,77.31,98,96,2.89
337,337,Mumford,GH,2021-10-02 15:40:45,5.2618,-0.759,80.58,78,65,10.42
338,338,Inirida,CO,2021-10-02 15:40:45,3.8653,-67.9239,84.09,71,100,1.72
339,339,Sabzevar,IR,2021-10-02 15:40:46,36.2126,57.6819,70.88,28,0,20.71
343,343,Labuhan,ID,2021-10-02 15:40:47,-6.8844,112.2051,78.87,73,100,12.12
344,344,Muisne,EC,2021-10-02 15:40:47,0.6,-80.0333,84.31,81,95,9.44
345,345,Cabo San Lucas,MX,2021-10-02 15:38:25,22.8909,-109.9124,80.15,88,90,14.97
347,347,Barghat,IN,2021-10-02 15:40:48,22.0333,79.7167,75.38,87,52,2.93
348,348,Samarai,PG,2021-10-02 15:40:48,-10.6167,150.6667,79.47,84,16,3.49
349,349,Sorong,ID,2021-10-02 15:40:48,-0.8833,131.25,78.98,82,95,5.7
352,352,Veraval,IN,2021-10-02 15:40:49,20.9,70.3667,81.09,83,43,5.44
357,357,Poum,NC,2021-10-02 15:40:51,-20.2333,164.0167,73.78,84,16,18.79
358,358,Tomatlan,MX,2021-10-02 15:37:22,19.9333,-105.25,83.75,67,58,1.81
364,364,Sissach,CH,2021-10-02 15:40:53,47.4641,7.8089,73.15,66,80,1.99
367,367,Barcelona,ES,2021-10-02 15:39:08,41.3888,2.1590000000000003,81.14,75,40,1.01
368,368,Salalah,OM,2021-10-02 15:40:53,17.0151,54.0924,82.49,83,75,10.36
369,369,Plover,US,2021-10-02 15:40:54,44.4564,-89.544,70.18,85,90,5.01
376,376,Singapore,SG,2021-10-02 15:38:50,1.2897,103.8501,80.51,87,40,1.14
379,379,Nhulunbuy,AU,2021-10-02 15:40:57,-12.2333,136.7667,77.61,83,75,6.91
381,381,Mushie,CD,2021-10-02 15:40:57,-3.0167,16.9,80.87,70,95,1.95
389,389,Namibe,AO,2021-10-02 15:41:00,-15.1961,12.1522,65.55,71,1,8.59
390,390,Katsuura,JP,2021-10-02 15:37:38,35.1333,140.3,70.2,82,1,6.29
393,393,Mathathane,BW,2021-10-02 15:41:01,-22.2687,28.7495,83.14,36,77,13.98
396,396,Hukuntsi,BW,2021-10-02 15:41:02,-24.0,21.75,71.13,13,0,12.3
397,397,Callaway,US,2021-10-02 15:41:02,30.153000000000002,-85.5699,84.97,74,1,3.0
400,400,Kuchaman,IN,2021-10-02 15:41:03,27.15,74.85,83.57,64,81,6.29
401,401,Bambanglipuro,ID,2021-10-02 15:41:04,-7.95,110.2833,76.53,79,82,5.23
402,402,Buala,SB,2021-10-02 15:41:04,-8.145,159.5921,79.65,81,97,2.91
403,403,Shimoda,JP,2021-10-02 15:37:38,34.6667,138.95,71.1,83,2,3.87
404,404,Kanniyakumari,IN,2021-10-02 15:41:05,8.0833,77.5667,79.92,85,46,10.83
405,405,Marsa Matruh,EG,2021-10-02 15:41:05,31.3525,27.2453,75.4,53,40,11.5
406,406,Lethem,GY,2021-10-02 15:41:05,3.3803,-59.7968,84.25,70,40,6.91
409,409,Rosarito,MX,2021-10-02 15:41:06,32.3333,-117.0333,82.63,32,100,1.83
410,410,Sur,OM,2021-10-02 15:41:06,22.5667,59.5289,83.66,70,100,4.81
412,412,Senanga,ZM,2021-10-02 15:41:07,-16.1167,23.2667,82.54,39,71,2.89
414,414,Antibes,FR,2021-10-02 15:41:08,43.5624,7.1278,77.36,69,40,8.05
415,415,Banda Aceh,ID,2021-10-02 15:41:08,5.5577,95.3222,79.2,85,96,4.5
416,416,Jining,CN,2021-10-02 15:38:38,35.405,116.5814,72.46,80,69,9.66
418,418,Oakdale,US,2021-10-02 15:41:09,44.963,-92.9649,69.13,91,90,5.75
419,419,Iraan,US,2021-10-02 15:41:09,30.914,-101.8979,74.14,61,28,2.82
420,420,Isangel,VU,2021-10-02 15:41:09,-19.55,169.2667,73.51,88,100,1.14
421,421,Kudahuvadhoo,MV,2021-10-02 15:41:09,2.6708,72.8944,82.92,74,24,13.91
422,422,Merauke,ID,2021-10-02 15:41:10,-8.4667,140.3333,77.68,85,63,7.54
426,426,Sampit,ID,2021-10-02 15:41:11,-2.5333,112.95,73.87,96,87,0.69
428,428,Honiara,SB,2021-10-02 15:41:12,-9.4333,159.95,77.67,88,99,2.73
430,430,Vaitape,PF,2021-10-02 15:41:12,-16.5167,-151.75,79.21,69,29,19.01
431,431,Hualmay,PE,2021-10-02 15:41:13,-11.0964,-77.6139,67.19,70,57,8.16
435,435,Tuburan,PH,2021-10-02 15:41:14,6.6439,122.2736,78.89,79,67,5.57
437,437,Monrovia,LR,2021-10-02 15:41:14,6.3005,-10.7969,82.17,82,100,6.93
438,438,Fontem,CM,2021-10-02 15:41:15,5.4685,9.8818,76.33,77,74,1.48
441,441,Dicabisagan,PH,2021-10-02 15:41:16,17.0818,122.4157,77.74,90,100,4.29
443,443,Pisco,PE,2021-10-02 15:41:16,-13.7,-76.2167,66.25,77,20,12.66
444,444,Roebourne,AU,2021-10-02 15:41:17,-20.7833,117.1333,73.8,25,2,11.54
445,445,Imbituba,BR,2021-10-02 15:41:17,-28.24,-48.6703,69.69,85,100,1.95
451,451,Luanda,AO,2021-10-02 15:38:39,-8.8368,13.2343,77.0,73,20,11.5
453,453,Port-Gentil,GA,2021-10-02 15:41:19,-0.7193,8.7815,82.36,78,75,16.11
455,455,Peniche,PT,2021-10-02 15:41:20,39.3558,-9.3811,76.75,86,85,11.74
457,457,Xixiang,CN,2021-10-02 15:41:21,35.1628,112.865,75.63,82,100,5.57
460,460,Iracoubo,GF,2021-10-02 15:41:21,5.4802,-53.2011,83.25,76,86,9.26
461,461,Alice Springs,AU,2021-10-02 15:41:22,-23.7,133.8833,76.55,16,0,5.75
462,462,Subang,ID,2021-10-02 15:41:22,-7.1277,108.5283,71.8,88,97,3.91
463,463,Karaton,ID,2021-10-02 15:41:22,-6.3424,106.1045,80.96,88,88,2.13
465,465,Phan Thiet,VN,2021-10-02 15:39:54,10.9333,108.1,76.21,92,93,4.65
466,466,Gorontalo,ID,2021-10-02 15:37:33,0.5412,123.0595,75.9,96,100,2.71
470,470,Kapit,MY,2021-10-02 15:41:24,2.0167,112.9333,73.09,99,86,0.83
472,472,Viransehir,TR,2021-10-02 15:41:25,37.2353,39.7631,82.38,22,4,5.59
473,473,Ibicarai,BR,2021-10-02 15:41:25,-14.865,-39.5875,82.38,29,3,7.87
474,474,Beloha,MG,2021-10-02 15:41:25,-25.1667,45.05,75.47,56,31,6.69
476,476,Pundaguitan,PH,2021-10-02 15:41:26,6.3711,126.1689,83.07,71,77,4.7
477,477,Thinadhoo,MV,2021-10-02 15:41:26,0.5333,72.9333,83.48,69,36,12.12
479,479,Saint-Pierre,RE,2021-10-02 15:41:27,-21.3393,55.4781,73.29,73,0,5.75
480,480,Betanzos,ES,2021-10-02 15:41:27,43.2804,-8.2147,69.89,84,75,4.0
481,481,Chittaurgarh,IN,2021-10-02 15:41:28,24.8833,74.6333,79.07,78,89,5.17
482,482,Bell Ville,AR,2021-10-02 15:41:28,-32.6259,-62.6887,74.8,38,94,11.7
486,486,Piura,PE,2021-10-02 15:41:29,-5.2,-80.6333,79.5,47,15,9.24
490,490,Lubbock,US,2021-10-02 15:41:30,33.6001,-101.8338,66.38,76,1,3.0
491,491,Vallenar,CL,2021-10-02 15:41:30,-28.5708,-70.7581,76.24,23,1,7.0
494,494,Concepcion Del Uruguay,AR,2021-10-02 15:41:31,-32.4825,-58.2372,73.98,52,4,8.99
495,495,Santa Maria,BR,2021-10-02 15:39:31,-29.6842,-53.8069,70.9,68,20,10.36
496,496,Tura,IN,2021-10-02 15:41:32,25.5198,90.2201,75.15,87,21,2.73
499,499,Lavumisa,SZ,2021-10-02 15:41:32,-27.31,31.892,69.12,93,94,3.85
504,504,Moerai,PF,2021-10-02 15:41:34,-22.4333,-151.3333,75.78,77,82,10.92
506,506,Hatta,IN,2021-10-02 15:36:48,24.1167,79.6,81.81,72,100,3.53
508,508,Bandarbeyla,SO,2021-10-02 15:41:35,9.4942,50.8122,80.58,76,39,22.97
511,511,Palu,ID,2021-10-02 15:41:35,-0.8917,119.8707,75.33,97,91,2.19
513,513,Rabo De Peixe,PT,2021-10-02 15:41:36,37.8,-25.5833,72.91,88,40,14.97
515,515,Arnstadt,DE,2021-10-02 15:41:36,50.8333,10.95,68.09,55,20,11.5
525,525,Port Moresby,PG,2021-10-02 15:41:39,-9.4431,147.1797,78.22,94,75,3.44
528,528,Beaucaire,FR,2021-10-02 15:41:40,43.8081,4.6442,75.65,69,75,13.8
532,532,Kiunga,PG,2021-10-02 15:41:41,-6.1219,141.2906,73.38,100,94,0.63
